url,job,jurusan,lulusan
/opportunities/1071515,Marketing Credit Executive Jakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071516,Marketing Credit Executive Surabaya,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071521,Marketing Credit Executive Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071522,Marketing Credit Executive Rangkasbitung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071523,Marketing Credit Executive Malang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071524,Marketing Credit Executive Sukabumi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071525,Marketing Credit Executive Serang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071558,Marketing Credit Executive Cibinong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071559,Marketing Credit Executive Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071560,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071472,Kolektor Surabaya,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1071424,Rider Surabaya,Semuanya,SLTA
/opportunities/1071426,Rider Mojokerto,Semuanya,SLTA
/opportunities/1071427,Rider Jember,Semuanya,SLTA
/opportunities/1071429,Rider Yogyakarta,Semuanya,SLTA
/opportunities/1071430,Rider Magelang,Semuanya,SLTA
/opportunities/1071432,Driver Sidoarjo,Semuanya,SLTA
/opportunities/1071434,Driver Surabaya,Semuanya,SLTA
/opportunities/1071449,Telesales & Customer Service Officer,Semuanya,Sarjana/S1
/opportunities/1071450,Client Consultant Officer,"Administrasi Bisnis (Manajemen), Ilmu Komunikasi",Sarjana/S1
/opportunities/1071451,Kolektor Palangkaraya,Semuanya,"SLTA, Diploma, Sarjana/S1"
